meas_lon,meas_lat,meas_pl_db,matched_rx_name,match_distance_m
-0.0612,51.5496,175.19,RX_3923,8.414632506931981e-05
-0.0612,51.5496,175.01,RX_3923,8.414632506931981e-05
-0.0613,51.5496,174.8,RX_3924,0.00010543810000700724
-0.0613,51.5496,172.98000000000002,RX_3924,0.00010543810000700724
-0.0614,51.5497,176.16,RX_3928,0.00011023637185598359
-0.0614,51.5497,176.04000000000002,RX_3928,0.00011023637185598359
-0.0614,51.5497,175.03,RX_3928,0.00011023637185598359
-0.0615,51.5497,176.21,RX_3930,9.624982316643175e-05
-0.0615,51.5497,175.07,RX_3930,9.624982316643175e-05
-0.0616,51.5497,174.17000000000002,RX_3932,0.0001137479587090514
-0.0616,51.5497,176.0,RX_3932,0.0001137479587090514
-0.0617,51.5497,176.10000000000002,RX_3935,0.00017597047289476193
-0.0617,51.5497,175.36,RX_3935,0.00017597047289476193
-0.0617,51.5497,175.78,RX_3935,0.00017597047289476193
-0.0618,51.5497,176.10000000000002,RX_3937,0.0001767873200744412
-0.0618,51.5497,176.19,RX_3937,0.0001767873200744412
-0.0619,51.5498,175.35000000000002,RX_3938,3.4528620274685556e-05
-0.0619,51.5498,174.64,RX_3938,3.4528620274685556e-05
-0.062,51.5498,175.82,RX_3942,7.843575705207727e-05
-0.062,51.5498,174.62,RX_3942,7.843575705207727e-05
-0.062,51.5498,175.17000000000002,RX_3942,7.843575705207727e-05
-0.0621,51.5498,175.09,RX_3943,0.00011553158861542401
-0.0621,51.5498,175.86,RX_3943,0.00011553158861542401
-0.0622,51.5498,175.0,RX_3945,0.00010110438022658962
-0.0622,51.5498,174.53,RX_3945,0.00010110438022658962
-0.0623,51.5498,175.57999999999998,RX_3947,8.215515965307238e-05
-0.0623,51.5499,173.84,RX_3949,9.202104115369118e-05
-0.0623,51.5499,172.44,RX_3949,9.202104115369118e-05
-0.0624,51.5499,173.54000000000002,RX_3951,7.091483132471524e-05
-0.0624,51.5499,173.64,RX_3951,7.091483132471524e-05
-0.0625,51.5499,172.46,RX_3952,5.4131999633691145e-05
-0.0625,51.5499,170.99,RX_3952,5.4131999633691145e-05
-0.0626,51.5499,172.51999999999998,RX_3954,4.713878483355442e-05
-0.0626,51.5499,172.51,RX_3954,4.713878483355442e-05
-0.0627,51.55,173.01,RX_3957,1.546113390294336e-05
-0.0627,51.55,173.11,RX_3957,1.546113390294336e-05
-0.0627,51.55,170.87,RX_3957,1.546113390294336e-05
-0.0628,51.55,172.23000000000002,RX_3959,6.490789768006386e-05
-0.0628,51.55,170.94,RX_3959,6.490789768006386e-05
